position,side,volume,entry_utc,exit_utc,duration_s,entry_price,exit_price,intended_tp,intended_sl,pnl,exit_reason,exit_comment,mae_pts,mfe_pts,post_resolved,post_tp_hit,post_tp_mins_from_entry,post_max_adverse_pts,post_horizon_h,en_atr_m1,en_atr_m1_rel,en_rsi_m1,en_tickvol_rel,en_consec_m1,en_atr_m5,en_atr_m5_rel,en_rsi_m5,en_px_vs_ema20_m5,en_px_vs_ema50_m5,en_px_vs_ema200_m5,en_ema20_slope_m5,en_ema50_slope_m5,en_ma_stack_m5,en_dist_hi20_m5,en_dist_lo20_m5,en_range_pos_m5,en_atr_m15,en_atr_m15_rel,en_rsi_m15,en_px_vs_ema20_m15,en_px_vs_ema50_m15,en_px_vs_ema200_m15,en_ema20_slope_m15,en_ema50_slope_m15,en_ma_stack_m15,en_dist_hi20_m15,en_dist_lo20_m15,en_range_pos_m15,en_atr_h1,en_atr_h1_rel,en_hour_utc,en_weekday,ex_atr_m1,ex_atr_m1_rel,ex_rsi_m1,ex_tickvol_rel,ex_consec_m1,ex_atr_m5,ex_atr_m5_rel,ex_rsi_m5,ex_px_vs_ema20_m5,ex_px_vs_ema50_m5,ex_px_vs_ema200_m5,ex_ema20_slope_m5,ex_ema50_slope_m5,ex_ma_stack_m5,ex_dist_hi20_m5,ex_dist_lo20_m5,ex_range_pos_m5,ex_atr_m15,ex_atr_m15_rel,ex_rsi_m15,ex_px_vs_ema20_m15,ex_px_vs_ema50_m15,ex_px_vs_ema200_m15,ex_ema20_slope_m15,ex_ema50_slope_m15,ex_ma_stack_m15,ex_dist_hi20_m15,ex_dist_lo20_m15,ex_range_pos_m15,ex_atr_h1,ex_atr_h1_rel,ex_hour_utc,ex_weekday
3042258173,BUY,0.01,2026-08-04T14:06:04,2026-08-04T14:09:26,202,63777.05,63627.59,64027.05,63627.05,-1.49,sl,[sl 63628.45000],150.2,48.3,True,True,34.0,237.1,24,79.91,1.601,47.6,1.26,-1,147.43,2.107,41.2,-134.8,-93.9,4.5,-11.64,-2.0,1,380.5,118.7,0.238,189.24,1.183,50.8,0.3,63.4,320.8,7.31,5.54,1,299.6,357.6,0.544,333.41,1.291,14,1,79.26,1.539,43.6,1.06,-1,147.43,2.107,41.2,-134.8,-93.9,4.5,-11.64,-2.0,1,380.5,118.7,0.238,189.24,1.183,50.8,0.3,63.4,320.8,7.31,5.54,1,299.6,357.6,0.544,333.41,1.291,14,1
3042279850,SELL,0.01,2026-08-04T14:09:46,2026-08-04T14:27:10,1044,63671.92,63827.0,63421.92,63821.92,-1.55,sl,[sl 63823.24000],145.9,131.9,True,False,,864.6,24,79.26,1.539,43.6,1.06,-1,147.43,2.107,41.2,-134.8,-93.9,4.5,-11.64,-2.0,1,380.5,118.7,0.238,189.24,1.183,50.8,0.3,63.4,320.8,7.31,5.54,1,299.6,357.6,0.544,333.41,1.291,14,1,75.45,1.329,56.8,1.02,-1,173.69,2.355,53.0,58.6,78.8,168.4,-8.31,-2.09,1,214.4,284.8,0.57,195.91,1.221,54.2,77.3,142.7,401.8,5.59,4.9,1,214.4,442.7,0.674,333.41,1.291,14,1
3042370357,BUY,0.01,2026-08-04T14:27:16,2026-08-04T14:40:18,782,63816.78,64067.87,64066.78,63666.78,2.51,tp,[tp 64067.87000],69.7,304.7,True,,,,24,75.45,1.329,56.8,1.02,-1,173.69,2.355,53.0,58.6,78.8,168.4,-8.31,-2.09,1,214.4,284.8,0.57,195.91,1.221,54.2,77.3,142.7,401.8,5.59,4.9,1,214.4,442.7,0.674,333.41,1.291,14,1,75.97,1.245,74.8,2.11,4,179.21,2.316,63.4,246.3,293.4,398.0,9.42,4.82,1,66.0,523.4,0.888,213.07,1.324,62.1,285.9,366.4,634.0,9.64,6.6,1,66.0,681.4,0.912,333.41,1.291,14,1
3042636772,SELL,0.01,2026-08-04T15:19:05,2026-08-04T15:46:03,1618,63951.07,64107.17,63701.07,64101.07,-1.56,sl,[sl 64101.77000],204.8,205.0,True,False,,760.0,24,49.53,0.74,40.6,0.77,-3,140.69,1.661,54.2,40.8,131.0,274.3,14.02,8.94,1,207.5,425.1,0.672,218.0,1.358,54.3,68.9,171.2,455.4,18.76,10.9,1,270.7,512.3,0.654,322.04,1.248,15,1,66.51,1.119,70.7,1.64,1,125.41,1.407,59.5,146.1,226.2,379.0,2.48,4.04,1,93.8,536.9,0.851,239.29,1.497,59.8,190.9,310.1,607.7,19.68,11.95,1,111.9,526.8,0.825,322.04,1.248,15,1
3042767042,BUY,0.01,2026-08-04T15:46:13,2026-08-04T16:05:32,1159,64112.51,63953.76,64362.51,63962.51,-1.59,sl,[sl 63953.76000],199.5,58.2,True,True,237.0,283.7,24,66.51,1.119,70.7,1.64,1,125.41,1.407,59.5,146.1,226.2,379.0,2.48,4.04,1,93.8,536.9,0.851,239.29,1.497,59.8,190.9,310.1,607.7,19.68,11.95,1,111.9,526.8,0.825,322.04,1.248,15,1,40.19,0.704,41.8,1.03,-5,116.36,1.27,52.5,16.1,101.1,266.9,9.3,7.11,1,192.6,232.1,0.546,233.57,1.466,57.1,123.9,246.0,548.1,16.69,11.02,1,165.9,472.8,0.74,311.42,1.207,16,1
3042868780,SELL,0.01,2026-08-04T16:07:20,2026-08-04T17:08:35,3675,63973.37,64119.04,63723.37,64123.37,-1.46,sl,[sl 64119.04],155.3,138.8,True,False,,741.2,24,42.58,0.755,41.1,0.96,1,116.36,1.27,52.5,16.1,101.1,264.3,9.3,7.11,1,192.6,232.1,0.546,233.57,1.466,55.8,98.0,218.5,519.9,16.14,10.8,1,194.5,444.2,0.696,317.02,1.228,16,1,41.79,0.948,76.4,1.49,5,96.23,0.993,61.0,152.4,207.3,374.8,1.35,2.62,1,53.3,371.3,0.874,226.01,1.441,60.6,207.8,328.4,640.6,8.32,8.05,1,53.3,585.4,0.916,317.71,1.232,17,1
3043140945,BUY,0.01,2026-08-04T17:08:49,2026-08-04T17:49:31,2442,64097.04,63944.21,64347.04,63947.04,-1.53,sl,[sl 63947.04000],164.8,31.6,True,True,75.0,268.2,24,41.79,0.948,74.9,1.65,5,96.23,0.993,58.4,107.5,159.6,323.6,0.4,2.23,1,103.0,321.6,0.757,226.01,1.441,57.0,114.4,229.2,538.4,6.35,7.24,1,156.6,482.1,0.755,317.71,1.232,17,1,36.08,0.938,32.1,1.01,-4,95.68,0.957,46.2,-63.7,-6.5,168.9,6.12,4.85,1,193.2,100.8,0.343,180.73,1.176,51.8,4.3,123.4,443.2,8.81,8.24,1,235.3,403.4,0.632,317.71,1.232,17,1
3043316806,SELL,0.01,2026-08-04T17:52:18,2026-08-04T18:02:09,591,63878.97,64019.32,63628.97,64028.97,-1.4,sl,[sl 64017.43000],135.1,50.1,True,False,,864.5,24,40.72,1.062,28.9,1.57,1,97.76,0.974,44.9,-75.5,-24.7,147.6,2.12,3.25,1,212.0,87.8,0.293,188.12,1.224,50.9,-14.5,103.5,422.4,8.41,8.08,1,256.1,382.7,0.599,322.3,1.25,17,1,43.98,1.148,51.5,0.88,-1,96.73,0.955,50.5,-0.6,42.2,211.5,-3.54,0.75,1,144.5,155.3,0.518,171.27,1.122,53.8,49.8,166.2,487.0,9.34,8.48,1,186.5,452.2,0.708,294.13,1.144,18,1
3043371899,BUY,0.01,2026-08-04T18:04:01,2026-08-04T18:20:21,980,64034.7,64284.7,64284.7,63884.7,2.5,tp,[tp 64284.70000],32.2,276.1,True,,,,24,42.41,1.107,54.3,0.79,-1,98.25,0.97,52.1,20.5,64.6,233.6,-3.09,0.93,1,121.2,178.7,0.596,182.86,1.197,59.9,208.7,335.0,660.7,12.69,9.85,1,16.5,627.8,0.974,315.33,1.226,18,1,50.51,1.281,72.4,1.67,4,100.08,0.969,67.8,234.7,312.6,502.6,14.77,8.09,1,17.5,464.5,0.964,183.9,1.21,63.8,309.7,450.1,786.2,16.8,11.66,1,17.5,761.4,0.978,315.33,1.226,18,1
3043773380,SELL,0.01,2026-08-04T20:01:06,2026-08-04T20:40:11,2345,64157.34,64305.42,63907.34,64307.34,-1.48,sl,[sl 64305.42000],152.0,221.5,True,True,301.0,335.7,24,40.61,1.121,25.1,1.24,-3,81.94,0.769,41.0,-119.1,-32.3,213.9,0.5,4.31,1,275.7,33.4,0.108,164.71,1.097,53.1,21.9,192.7,574.1,15.4,13.02,1,238.0,387.5,0.62,327.73,1.275,20,1,37.51,1.117,75.0,1.34,6,100.14,0.931,58.3,109.2,153.5,381.2,-1.11,1.28,1,89.1,346.6,0.795,170.6,1.135,58.3,157.3,323.0,710.5,9.75,10.75,1,89.1,453.6,0.836,327.73,1.275,20,1
