position_id,instrumentation,opened,closed,duration_s,duration_min,side,volume,entry,exit,pnl,won,move_pts,move_pct,move_in_atr15,velocity_pts_min,mfe_pts,mae_pts,exit_reason,hour,weekday,spread_at_entry,M5_close,M5_atr,M5_vs_ema21,M5_ema_cross,M5_structure,M5_slope5,M5_donchian,M5_pct_of_range,M15_close,M15_atr,M15_vs_ema21,M15_ema_cross,M15_structure,M15_slope5,M15_donchian,M15_pct_of_range,H1_close,H1_atr,H1_vs_ema21,H1_ema_cross,H1_structure,H1_slope5,H1_donchian,H1_pct_of_range,H4_close,H4_atr,H4_vs_ema21,H4_ema_cross,H4_structure,H4_slope5,H4_donchian,H4_pct_of_range,M5_aligned,M15_aligned,H1_aligned,H4_aligned,entry_candle_dir,entry_candle_range,entry_body_pct,entry_upper_wick_pct,entry_lower_wick_pct,entry_tick_volume,entry_spread_pts
2949185835,False,2026-07-11T16:45:02,2026-07-11T16:50:21,319,5.3,BUY,0.01,64103.44,64131.43,0.28,True,28.0,0.0437,0.18,5.3,,,[tp 64131.43000],16,Saturday,10.0,64094.28,126.3,below,bear,LH_LL,-58.7,inside,48.6,64094.28,150.2,below,bear,mixed,-286.4,inside,46.6,64120.75,177.2,above,bull,LH_LL,-9.9,inside,60.2,64120.75,583.8,above,bull,mixed,234.3,inside,83.1,False,False,True,True,,,,,,,
2949192518,False,2026-07-11T16:50:22,2026-07-11T17:06:09,947,15.8,BUY,0.01,64125.19,64170.7,0.46,True,45.5,0.071,0.3,2.9,,,[tp 64170.70000],16,Saturday,10.0,64120.9,86.4,below,bear,mixed,-35.9,inside,52.5,64094.28,150.2,below,bear,mixed,-286.4,inside,46.6,64120.75,177.2,above,bull,LH_LL,-9.9,inside,60.2,64120.75,583.8,above,bull,mixed,234.3,inside,83.1,False,False,True,True,,,,,,,
2949204482,False,2026-07-11T17:06:09,2026-07-11T17:15:02,533,8.9,SELL,0.01,64169.8,64158.2,0.12,True,11.6,0.0181,0.08,1.3,,,[tp 64158.20000],17,Saturday,10.0,64142.42,69.2,below,bear,HH_HL,43.4,inside,57.3,64128.8,152.9,below,bear,LH_LL,72.8,inside,51.5,64128.8,177.2,above,bull,mixed,-10.4,inside,61.1,64120.75,583.8,above,bull,mixed,234.3,inside,83.1,True,True,False,False,,,,,,,
2949210883,False,2026-07-11T17:15:03,2026-07-11T19:28:18,7995,133.2,SELL,0.01,64151.71,64212.34,-0.6,False,-60.6,-0.0945,-0.38,-0.5,,,,17,Saturday,10.0,64160.28,62.7,above,bear,HH_HL,39.4,inside,61.3,64160.28,152.5,below,bear,HH_HL,39.5,inside,56.0,64128.8,177.2,above,bull,mixed,-10.4,inside,61.1,64120.75,583.8,above,bull,mixed,234.3,inside,83.1,False,True,False,False,,,,,,,
2949301230,False,2026-07-11T19:19:57,2026-07-11T19:28:17,500,8.3,SELL,0.03,64285.84,64208.36,2.33,True,77.5,0.1205,0.85,9.3,,,,19,Saturday,10.0,64269.93,41.2,above,bull,mixed,-13.7,inside,29.3,64269.93,97.6,above,bull,mixed,0.9,inside,71.5,64279.08,184.3,above,bull,mixed,87.4,inside,72.8,64120.75,583.8,above,bull,mixed,234.3,inside,83.1,False,False,False,False,,,,,,,
2949308393,False,2026-07-11T19:30:01,2026-07-11T19:36:55,414,6.9,BUY,0.01,64203.82,64232.89,0.29,True,29.1,0.0453,0.34,4.2,,,[tp 64232.89000],19,Saturday,10.0,64193.82,42.2,below,bear,LH_LL,-66.8,breakout_dn,-31.8,64193.82,91.4,below,bull,mixed,-67.6,inside,60.7,64279.08,184.3,above,bull,mixed,87.4,inside,72.8,64120.75,583.8,above,bull,mixed,234.3,inside,83.1,False,False,True,True,,,,,,,
2949313419,False,2026-07-11T19:36:56,2026-07-11T20:04:03,1627,27.1,BUY,0.01,64243.86,64272.93,0.29,True,29.1,0.0452,0.34,1.1,,,[tp 64272.93000],19,Saturday,10.0,64197.49,39.8,below,bear,LH_LL,-65.5,inside,5.9,64193.82,91.4,below,bull,mixed,-67.6,inside,60.7,64279.08,184.3,above,bull,mixed,87.4,inside,72.8,64120.75,583.8,above,bull,mixed,234.3,inside,83.1,False,False,True,True,,,,,,,
2949328654,False,2026-07-11T20:04:04,2026-07-11T20:13:39,575,9.6,BUY,0.01,64283.03,64299.2,0.16,True,16.2,0.0252,0.21,1.7,,,[tp 64299.20000],20,Saturday,10.0,64236.95,38.0,below,bear,HH_HL,39.5,inside,32.7,64236.95,82.5,above,bull,HH_HL,-64.1,inside,69.7,64236.95,184.6,above,bull,LH_LL,-61.7,inside,66.9,64236.95,571.1,above,bull,mixed,119.8,inside,86.8,False,True,True,True,,,,,,,
2949334386,False,2026-07-11T20:13:40,2026-07-11T20:33:19,1179,19.6,BUY,0.01,64305.04,64321.21,0.16,True,16.2,0.0251,0.21,0.8,,,[tp 64321.21000],20,Saturday,10.0,64265.19,37.0,above,bear,mixed,42.9,inside,61.4,64236.95,82.5,above,bull,HH_HL,-64.1,inside,69.7,64236.95,184.6,above,bull,LH_LL,-61.7,inside,66.9,64236.95,571.1,above,bull,mixed,119.8,inside,86.8,True,True,True,True,,,,,,,
2949344359,False,2026-07-11T20:33:21,2026-07-11T20:40:39,438,7.3,BUY,0.01,64327.66,64343.83,0.16,True,16.2,0.0251,0.21,2.2,,,[tp 64343.83000],20,Saturday,10.0,64300.86,38.6,above,bull,mixed,39.3,inside,87.0,64300.86,73.5,above,bull,HH_HL,30.9,inside,80.5,64236.95,184.6,above,bull,LH_LL,-61.7,inside,66.9,64236.95,571.1,above,bull,mixed,119.8,inside,86.8,True,True,True,True,,,,,,,
