ts_utc,ts_ms,instId,side,posSide,sz,bkPx
2026-08-01T00:35:35.261+00:00,1785544535261,BTC-USDT-SWAP,sell,long,0.17,62958.5
2026-07-31T23:58:12.735+00:00,1785542292735,BTC-USDT-SWAP,sell,long,71.08,62845.7
2026-07-31T23:56:51.777+00:00,1785542211777,BTC-USDT-SWAP,sell,long,1.67,62845.9
2026-07-31T22:12:25.347+00:00,1785535945347,BTC-USDT-SWAP,sell,long,31,62967.7
2026-07-31T21:27:23.997+00:00,1785533243997,BTC-USDT-SWAP,sell,long,1.68,62993.2
2026-07-31T21:03:00.492+00:00,1785531780492,BTC-USDT-SWAP,sell,long,8.75,62817.5
2026-07-31T21:02:49.277+00:00,1785531769277,BTC-USDT-SWAP,sell,long,13.98,62827.5
2026-07-31T21:02:48.098+00:00,1785531768098,BTC-USDT-SWAP,sell,long,0.01,62831.6
2026-07-31T21:02:47.822+00:00,1785531767822,BTC-USDT-SWAP,sell,long,1.47,62835.4
2026-07-31T21:02:32.388+00:00,1785531752388,BTC-USDT-SWAP,sell,long,4.39,62842.2
2026-07-31T21:02:32.332+00:00,1785531752332,BTC-USDT-SWAP,sell,long,2.54,62842.2
2026-07-31T21:02:29.065+00:00,1785531749065,BTC-USDT-SWAP,sell,long,0.09,62850.2
2026-07-31T21:02:26.866+00:00,1785531746866,BTC-USDT-SWAP,sell,long,0.37,62858.8
2026-07-31T21:02:26.778+00:00,1785531746778,BTC-USDT-SWAP,sell,long,0.18,62860.9
2026-07-31T21:02:26.672+00:00,1785531746672,BTC-USDT-SWAP,sell,long,4.99,62860.9
2026-07-31T21:02:24.307+00:00,1785531744307,BTC-USDT-SWAP,sell,long,3.97,62866.5
2026-07-31T21:02:21.315+00:00,1785531741315,BTC-USDT-SWAP,sell,long,5.99,62869.9
2026-07-31T21:02:21.009+00:00,1785531741009,BTC-USDT-SWAP,sell,long,4.33,62875.4
2026-07-31T21:02:21.009+00:00,1785531741009,BTC-USDT-SWAP,sell,long,6.97,62875.4
2026-07-31T21:02:20.941+00:00,1785531740941,BTC-USDT-SWAP,sell,long,3.01,62875.4
2026-07-31T21:01:47.730+00:00,1785531707730,BTC-USDT-SWAP,sell,long,0.31,62893.3
2026-07-31T21:00:57.290+00:00,1785531657290,BTC-USDT-SWAP,sell,long,0.12,62916.7
2026-07-31T20:56:12.448+00:00,1785531372448,BTC-USDT-SWAP,sell,long,2.17,62915.4
2026-07-31T20:54:22.719+00:00,1785531262719,BTC-USDT-SWAP,sell,long,0.94,62898.9
2026-07-31T20:50:19.774+00:00,1785531019774,BTC-USDT-SWAP,sell,long,31.68,62949.9
2026-07-31T19:56:52.597+00:00,1785527812597,BTC-USDT-SWAP,sell,long,4.27,62985.4
2026-07-31T19:40:53.181+00:00,1785526853181,BTC-USDT-SWAP,sell,long,1.5,62906.2
2026-07-31T19:27:01.855+00:00,1785526021855,BTC-USDT-SWAP,sell,long,16.16,63004
2026-07-31T19:27:01.757+00:00,1785526021757,BTC-USDT-SWAP,sell,long,180,63004
2026-07-31T18:01:03.465+00:00,1785520863465,BTC-USDT-SWAP,buy,short,38.91,63270.9
2026-07-31T17:56:13.474+00:00,1785520573474,BTC-USDT-SWAP,buy,short,0.19,63261.5
2026-07-31T17:56:07.737+00:00,1785520567737,BTC-USDT-SWAP,buy,short,24.53,63251.2
2026-07-31T17:55:25.530+00:00,1785520525530,BTC-USDT-SWAP,buy,short,0.51,63239.1
2026-07-31T17:55:25.428+00:00,1785520525428,BTC-USDT-SWAP,buy,short,20.77,63238.6
2026-07-31T17:55:05.247+00:00,1785520505247,BTC-USDT-SWAP,buy,short,8.28,63229.9
2026-07-31T17:55:05.247+00:00,1785520505247,BTC-USDT-SWAP,buy,short,30.9,63229.9
2026-07-31T17:54:35.645+00:00,1785520475645,BTC-USDT-SWAP,buy,short,1.51,63217.9
2026-07-31T17:54:35.604+00:00,1785520475604,BTC-USDT-SWAP,buy,short,10.75,63217.9
2026-07-31T17:54:35.381+00:00,1785520475381,BTC-USDT-SWAP,buy,short,3.23,63216.1
2026-07-31T17:54:35.352+00:00,1785520475352,BTC-USDT-SWAP,buy,short,0.01,63216.1
2026-07-31T17:53:21.779+00:00,1785520401779,BTC-USDT-SWAP,buy,short,1.45,63208.2
2026-07-31T17:53:09.276+00:00,1785520389276,BTC-USDT-SWAP,buy,short,0.06,63205.1
2026-07-31T17:53:09.202+00:00,1785520389202,BTC-USDT-SWAP,buy,short,0.18,63205.1
2026-07-31T17:52:14.877+00:00,1785520334877,BTC-USDT-SWAP,buy,short,1.93,63202.6
2026-07-31T17:52:07.662+00:00,1785520327662,BTC-USDT-SWAP,buy,short,6.53,63198.3
2026-07-31T17:52:01.316+00:00,1785520321316,BTC-USDT-SWAP,buy,short,2.07,63194.5
2026-07-31T17:52:01.149+00:00,1785520321149,BTC-USDT-SWAP,buy,short,0.79,63193.8
2026-07-31T17:52:00.773+00:00,1785520320773,BTC-USDT-SWAP,buy,short,0.54,63193.8
2026-07-31T17:52:00.667+00:00,1785520320667,BTC-USDT-SWAP,buy,short,0.67,63193.8
2026-07-31T17:52:00.620+00:00,1785520320620,BTC-USDT-SWAP,buy,short,0.7,63193.8
2026-07-31T17:52:00.185+00:00,1785520320185,BTC-USDT-SWAP,buy,short,0.03,63189.3
2026-07-31T17:52:00.097+00:00,1785520320097,BTC-USDT-SWAP,buy,short,0.31,63188.9
2026-07-31T17:51:50.904+00:00,1785520310904,BTC-USDT-SWAP,buy,short,1.2,63185
2026-07-31T17:51:47.944+00:00,1785520307944,BTC-USDT-SWAP,buy,short,1.75,63177.9
2026-07-31T17:51:47.809+00:00,1785520307809,BTC-USDT-SWAP,buy,short,0.15,63173.2
2026-07-31T17:51:45.726+00:00,1785520305726,BTC-USDT-SWAP,buy,short,2.21,63167.6
2026-07-31T17:51:41.148+00:00,1785520301148,BTC-USDT-SWAP,buy,short,0.02,63163.3
2026-07-31T17:51:38.717+00:00,1785520298717,BTC-USDT-SWAP,buy,short,0.62,63161.8
2026-07-31T17:51:38.086+00:00,1785520298086,BTC-USDT-SWAP,buy,short,0.27,63159.4
2026-07-31T17:51:27.853+00:00,1785520287853,BTC-USDT-SWAP,buy,short,0.03,63145.9
2026-07-31T17:51:27.465+00:00,1785520287465,BTC-USDT-SWAP,buy,short,0.54,63143.8
2026-07-31T17:51:18.177+00:00,1785520278177,BTC-USDT-SWAP,buy,short,2,63138.7
2026-07-31T17:51:16.504+00:00,1785520276504,BTC-USDT-SWAP,buy,short,1.4,63135.8
2026-07-31T17:51:16.322+00:00,1785520276322,BTC-USDT-SWAP,buy,short,0.18,63135.7
2026-07-31T17:51:15.647+00:00,1785520275647,BTC-USDT-SWAP,buy,short,12.19,63134.8
2026-07-31T17:51:15.315+00:00,1785520275315,BTC-USDT-SWAP,buy,short,1.51,63130
2026-07-31T17:51:02.851+00:00,1785520262851,BTC-USDT-SWAP,buy,short,0.38,63117.8
2026-07-31T17:48:03.857+00:00,1785520083857,BTC-USDT-SWAP,buy,short,2.22,63116
2026-07-31T17:48:02.452+00:00,1785520082452,BTC-USDT-SWAP,buy,short,1.44,63114.1
2026-07-31T17:48:02.208+00:00,1785520082208,BTC-USDT-SWAP,buy,short,6,63108
2026-07-31T17:47:55.357+00:00,1785520075357,BTC-USDT-SWAP,buy,short,5.86,63101.5
2026-07-31T17:47:25.859+00:00,1785520045859,BTC-USDT-SWAP,buy,short,5.85,63099
2026-07-31T17:47:10.381+00:00,1785520030381,BTC-USDT-SWAP,buy,short,0.44,63090.9
2026-07-31T17:47:10.298+00:00,1785520030298,BTC-USDT-SWAP,buy,short,0.04,63090.9
2026-07-31T17:47:09.745+00:00,1785520029745,BTC-USDT-SWAP,buy,short,81.52,63083.5
2026-07-31T17:37:26.379+00:00,1785519446379,BTC-USDT-SWAP,buy,short,0.54,63073.2
2026-07-31T17:37:25.973+00:00,1785519445973,BTC-USDT-SWAP,buy,short,0.01,63072.8
2026-07-31T17:37:20.243+00:00,1785519440243,BTC-USDT-SWAP,buy,short,9.7,63070.9
2026-07-31T17:37:20.140+00:00,1785519440140,BTC-USDT-SWAP,buy,short,0.57,63070.9
2026-07-31T17:36:03.135+00:00,1785519363135,BTC-USDT-SWAP,buy,short,7.97,63065.2
2026-07-31T17:36:03.063+00:00,1785519363063,BTC-USDT-SWAP,buy,short,0.01,63065.2
2026-07-31T17:36:02.999+00:00,1785519362999,BTC-USDT-SWAP,buy,short,5.32,63065.2
2026-07-31T17:35:53.660+00:00,1785519353660,BTC-USDT-SWAP,buy,short,2.57,63058.3
