time_msc,time,bid,ask,last,volume,flags
1785887996321,1785887996,64050.01,64060.01,0.0,0,6
1785887997396,1785887997,64049.97,64059.97,0.0,0,6
1785887998409,1785887998,64050.91,64060.91,0.0,0,6
1785887999419,1785887999,64051.28,64061.28,0.0,0,6
1785888000427,1785888000,64053.38,64063.38,0.0,0,6
1785888000855,1785888000,64049.16,64059.16,0.0,0,6
1785888001317,1785888001,64044.23,64054.23,0.0,0,6
1785888001338,1785888001,64040.59,64050.59,0.0,0,6
1785888001479,1785888001,64038.95,64048.95,0.0,0,6
1785888001498,1785888001,64036.77,64046.77,0.0,0,6
1785888001525,1785888001,64034.64,64044.64,0.0,0,6
1785888001949,1785888001,64036.36,64046.36,0.0,0,6
1785888001987,1785888001,64039.26,64049.26,0.0,0,6
1785888002751,1785888002,64047.32,64057.32,0.0,0,6
1785888002767,1785888002,64049.27,64059.27,0.0,0,6
1785888002777,1785888002,64050.63,64060.63,0.0,0,6
1785888002803,1785888002,64052.62,64062.62,0.0,0,6
1785888003810,1785888003,64051.75,64061.75,0.0,0,6
1785888005834,1785888005,64048.22,64058.22,0.0,0,6
1785888006903,1785888006,64045.52,64055.52,0.0,0,6
1785888007907,1785888007,64046.88,64056.88,0.0,0,6
1785888009058,1785888009,64047.6,64057.6,0.0,0,6
1785888010126,1785888010,64050.91,64060.91,0.0,0,6
1785888010302,1785888010,64043.97,64053.97,0.0,0,6
1785888010317,1785888010,64042.39,64052.39,0.0,0,6
1785888010411,1785888010,64040.68,64050.68,0.0,0,6
1785888010424,1785888010,64039.05,64049.05,0.0,0,6
1785888010467,1785888010,64037.13,64047.13,0.0,0,6
1785888010505,1785888010,64035.62,64045.62,0.0,0,6
1785888011525,1785888011,64034.04,64044.04,0.0,0,6
1785888012595,1785888012,64034.22,64044.22,0.0,0,6
1785888013662,1785888013,64034.66,64044.66,0.0,0,6
1785888014701,1785888014,64038.22,64048.22,0.0,0,6
1785888015779,1785888015,64037.08,64047.08,0.0,0,6
1785888015971,1785888015,64035.2,64045.2,0.0,0,6
1785888017014,1785888017,64035.07,64045.07,0.0,0,6
1785888019024,1785888019,64033.82,64043.82,0.0,0,6
1785888020052,1785888020,64030.94,64040.94,0.0,0,6
1785888021083,1785888021,64030.99,64040.99,0.0,0,6
1785888022104,1785888022,64029.75,64039.75,0.0,0,6
1785888023197,1785888023,64034.94,64044.94,0.0,0,6
1785888023607,1785888023,64032.73,64042.73,0.0,0,6
1785888023628,1785888023,64030.44,64040.44,0.0,0,6
1785888023770,1785888023,64029.08,64039.08,0.0,0,6
1785888023770,1785888023,64027.69,64037.69,0.0,0,6
1785888024897,1785888024,64025.46,64035.46,0.0,0,6
1785888025946,1785888025,64024.85,64034.85,0.0,0,6
1785888027007,1785888027,64024.24,64034.24,0.0,0,6
1785888028022,1785888028,64024.17,64034.17,0.0,0,6
